"article","link","contributors","about","year","cited","addonlinks","year"
"An effect of chaos grasshopper optimization algorithm for protection of network infrastructure","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:70eg2SAEIzsC","S Dwivedi, M Vardhan, S Tripathi","Computer Networks 176, 107251",", 2020","37","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9098644240506294112","2020"
"Defense against distributed DoS attack detection by using intelligent evolutionary algorithm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:RYcK_YlVTxYC","S Dwivedi, M Vardhan, S Tripathi","International Journal of Computers and Applications 44 (3), 219-229",", 2022","35","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9533788381528726669","2022"
"De-LADY: Deep learning based Android malware detection using Dynamic features.","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:cFHS6HbyZ2cC","V Sihag, M Vardhan, P Singh, G Choudhary, S Son","J. Internet Serv. Inf. Secur. 11 (2), 34-45",", 2021","34","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17811523810774335099","2021"
"Building an efficient intrusion detection system using grasshopper optimization algorithm for anomaly detection","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:3s1wT3WcHBgC","S Dwivedi, M Vardhan, S Tripathi","Cluster Computing, 1-20",", 2021","33","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8160135268536604645","2021"
"Incorporating evolutionary computation for securing wireless network against cyberthreats","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:J_g5lzvAfSwC","S Dwivedi, M Vardhan, S Tripathi","The Journal of Supercomputing 76, 8691-8728",", 2020","28","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1282664966310493942","2020"
"A hybrid framework for optimal feature subset selection","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:maZDTaKrznsC","AK Shukla, P Singh, M Vardhan","Journal of Intelligent & Fuzzy Systems 36 (3), 2247-2259",", 2019","28","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17188016150695515943","2019"
"BLADE: robust malware detection against obfuscation in android","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:4OULZ7Gr8RgC","V Sihag, M Vardhan, P Singh","Forensic Science International: Digital Investigation 38, 301176",", 2021","25","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10717568085505272241","2021"
"Data outsourcing: A threat to confidentiality, integrity, and availability","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:KlAtU1dfN6UC","M Kumar, J Meena, R Singh, M Vardhan","2015 International Conference on Green Computing and Internet of Things …",", 2015","24","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5798824475369422108","2015"
"Signature based malicious behavior detection in android","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:M05iB0D1s5AC","V Sihag, A Swami, M Vardhan, P Singh","Computing Science, Communication and Security: First International …",", 2020","19","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2327583197458425978","2020"
"Computing optimal block size for blockchain based applications with contradictory objectives","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&citation_for_view=Jmo3rNEAAAAJ:2P1L_qKh6hAC","N Singh, M Vardhan","Procedia Computer Science 171, 1389-1398",", 2020","19","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17027910005499792813","2020"
"Digital ledger technology-based real estate transaction mechanism and its block size assessment","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:O3NaXMp0MMsC","N Singh, M Vardhan","International Journal of Blockchains and Cryptocurrencies 1 (1), 67-84",", 2019","19","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7603442647443862479","2019"
"Advances in computing and information technology","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:8k81kl-MbHgC","N Meghanathan, D Nagamalai, N Chaki","Proceedings of the second international conference on advances in computing …",", 2012","18","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6332658729124022678","2012"
"Advances in computing and information technology","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:0EnyYjriUFMC","N Meghanathan, D Nagamalai, N Chaki","Proceedings of the second international conference on advances in computing …",", 2012","18","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6332658729124022678","2012"
"Multi-objective optimization of block size based on CPU power and network bandwidth for blockchain applications","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:SeFeTyx0c_EC","N Singh, M Vardhan","Proceedings of the Fourth International Conference on Microelectronics …",", 2021","17","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2690221863928505251","2021"
"Blockchain based e-cheque clearing framework","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:RGFaLdJalmkC","N Singh, T Kumar, M Vardhan","Scalable Computing: Practice and Experience 20 (3), 511-526",", 2019","17","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3881811610331282873","2019"
"Neighbour teaching learning based optimization for global optimization problems","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:IWHjjKOFINEC","AK Shukla, P Singh, M Vardhan","Journal of Intelligent & Fuzzy Systems 34 (3), 1583-1594",", 2018","17","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7922268455242230948","2018"
"Privacy preserving, verifiable and efficient outsourcing algorithm for matrix multiplication to a malicious cloud server","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:qxL8FJ1GzNcC","M Kumar, J Meena, M Vardhan","Cogent Engineering 4 (1), 1295783",", 2017","17","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11849637860302544976","2017"
"Bert-based transfer-learning approach for nested named-entity recognition using joint labeling","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:EUQCXRtRnyEC","A Agrawal, S Tripathi, M Vardhan, V Sihag, G Choudhary, N Dragoni","Applied Sciences 12 (3), 976",", 2022","16","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8039904697176853397","2022"
"Blockchain Based E-Stamp Procurement System with Efficient Consensus Mechanism and Fast Parallel Search","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:M3NEmzRMIkIC","N Singh, M Vardhan","(JMCMS) Journal OF MECHANICS OF CONTINUA AND MATHEMATICAL SCIENCES 13 (4)",", 2018","15","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5416182821010855515","2018"
"A versatile approach for the estimation of software development effort based on SRS document","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:_FxGoFyzp5QC","A Sharma, M Vardhan, DS Kushwaha","International Journal of Software Engineering and Knowledge Engineering 24 …",", 2014","15","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11873547639898498550","2014"
"Blockchain-based e-cheque clearing framework with trust based consensus mechanism","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:g5m5HwL7SMYC","N Singh, T Kumar, M Vardhan","Cluster Computing 24, 851-865",", 2021","14","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9100585706466118338","2021"
"Hybrid approach for gene selection and classification using filter and genetic algorithm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:TQgYirikUcIC","P Singh, A Shukla, M Vardhan","2017 International Conference on Inventive Computing and Informatics (ICICI …",", 2017","13","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9583653235196114285","2017"
"An improved history-based test prioritization technique technique using code coverage","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:LkGwnXOMwfcC","A Gupta, N Mishra, A Tripathi, M Vardhan, DS Kushwaha","Advanced Computer and Communication Engineering Technology: Proceedings of …",", 2015","13","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5961683422462457412","2015"
"PWEBSA: Twitter sentiment analysis by combining Plutchik wheel of emotion and word embedding","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:_xSYboBqXhAC","P Kumar, M Vardhan","International Journal of Information Technology, 1-9",", 2022","12","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6003252303420738077","2022"
"Active learning approach using a modified least confidence sampling strategy for named entity recognition","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:ZHo1McVdvXMC","A Agrawal, S Tripathi, M Vardhan","Progress in Artificial Intelligence 10, 113-128",", 2021","12","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11228612260798936805","2021"
"DNA gene expression analysis on diffuse large b-cell lymphoma (DLBCL) based on filter selection method with supervised classification method","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:RHpTSmoSYBkC","AK Shukla, P Singh, M Vardhan","Computational Intelligence in Data Mining: Proceedings of the International …",", 2019","12","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12921271276693613034","2019"
"PICAndro: packet inspection-based android malware detection","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:bFI3QPDXJZMC","V Sihag, G Choudhary, M Vardhan, P Singh, JT Seo","Security and Communication Networks 2021, 1-11",", 2021","11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2765134403394882293","2021"
"Distributed denial-of-service prediction on IoT framework by learning techniques","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:pqnbT2bcN3wC","S Dwivedi, M Vardhan, S Tripathi","Open Computer Science 10 (1), 220-230",", 2020","11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13979993813653122995","2020"
"Medical diagnosis of Parkinson disease driven by multiple preprocessing technique with scarce lee silverman voice treatment data","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:TFP_iSt0sucC","AK Shukla, P Singh, M Vardhan","Engineering Vibration, Communication and Information Processing: ICoEVCI …",", 2019","10","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14599815975422394382","2019"
"A novel filter approach for efficient selection and small round blue-cell tumor cancer detection using microarray gene expression data","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:HDshCWvjkbEC","P Singh, A Shukla, M Vardhan","2017 International conference on inventive computing and informatics (ICICI …",", 2017","10","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5802646754438116761","2017"
"Security service level agreements based authentication and authorization model for accessing cloud services","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:ufrVoPGSRksC","D Bajpai, M Vardhan, S Gupta, R Kumar, DS Kushwaha","Advances in Computing and Information Technology: Proceedings of the Second …",", 2012","10","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18361704831154323589","2012"
"Efficient utilization of commodity computers in academic institutes: a cloud computing approach","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:UebtZRa9Y70C","J Meena, M Kumar, M Vardhan","World Acad. Sci. Eng. Technol. Int. J. Comput. Inf. Eng 9 (2)",", 2015","9","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=952439617061768752","2015"
"A demand based fault tolerant file replication model for clouds","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:u5HHmVD_uO8C","M Vardhan, N Jain, S Mishra, DS Kushwaha","Proceedings of the CUBE International Information Technology Conference, 561-566",", 2012","9","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11292101246239452158","2012"
"Opcode n-gram based malware classification in android","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:HoB7MX3m0LUC","V Sihag, A Mitharwal, M Vardhan, P Singh","2020 Fourth World Conference on Smart Trends in Systems, Security and …",", 2020","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10477520411478573048","2020"
"Hybrid TLBO-GSA Strategy for Constrained and Unconstrained Engineering Optimization Functions","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:r0BpntZqJG4C","AK Shukla, P Singh, M Vardhan","Hybrid Metaheuristics: Research And Applications 84, 41",", 2018","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7792142772369592923","2018"
"Privacy preserving, verifiable and efficient outsourcing algorithm for regression analysis to a malicious cloud","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:aqlVkmm33-oC","M Kumar, J Meena, S Tiwari, M Vardhan","Journal of Intelligent & Fuzzy Systems 32 (5), 3413-3427",", 2017","8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10529121390688157946","2017"
"Authentication and authorization interface using security service level agreements for accessing cloud services","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:WF5omc3nYNoC","D Bajpai, M Vardhan, DS Kushwaha","Contemporary Computing: 5th International Conference, IC3 2012, Noida, India …",", 2012","7","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16801451143650989029","2012"
"An assistive tool for fileless malware detection","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:yD5IFk8b50cC","P Borana, V Sihag, G Choudhary, M Vardhan, P Singh","2021 World Automation Congress (WAC), 21-25",", 2021","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16807933632619221606","2021"
"Data confidentiality and integrity preserving outsourcing algorithm for matrix chain multiplication over malicious cloud server","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:ZeXyd9-uunAC","M Kumar, M Vardhan","Journal of Intelligent & Fuzzy Systems 34 (3), 1251-1263",", 2018","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10815940477952967857","2018"
"Ensuring security in on-demand file replication system","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:UeHWp8X0CEIC","D Bajpai, M Vardhan, DS Kushwaha","2012 Third International Conference on Computer and Communication Technology …",", 2012","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2620550397469696142","2012"
"Eager computation and lazy propagation of modifications for reducing synchronization overhead in file replication system","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:u-x6o8ySG0sC","M Vardhan, S Verma, P Bhatnagar, DS Kushwaha","2012 Third International Conference on Computer and Communication Technology …",", 2012","6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12564994539768215626","2012"
"Multi-parallel adaptive grasshopper optimization technique for detecting anonymous attacks in wireless networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:fPk4N6BV_jEC","S Dwivedi, M Vardhan, S Tripathi","Wireless Personal Communications 119, 2787-2816",", 2021","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7753156765150396017","2021"
"An empirical study on multi-objective swarm algorithm for standard multi-objective benchmark problems","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:-f6ydRqryjwC","AK Shukla, P Singh, M Vardhan","Proceedings of 3rd international conference on internet of things and …",", 2018","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10643169527147823865","2018"
"A transparent service replication mechanism for clouds","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:Tyk-4Ss8FVUC","M Vardhan, DK Yadav, DS Kushwaha","2012 Sixth International Conference on Complex, Intelligent, and Software …",", 2012","5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4488316626711528946","2012"
"Forensic analysis of fitness applications on android","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:f2IySw72cVMC","R Sinha, V Sihag, G Choudhary, M Vardhan, P Singh","International Symposium on Mobile Internet Security, 222-235",", 2021","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13785084736114043514","2021"
"A novel publicly delegable secure outsourcing algorithm for large-scale matrix multiplication","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:35N4QoGY0k4C","M Kumar, V Mishra, A Shukla, M Singh, M Vardhan","Journal of Intelligent & Fuzzy Systems 38 (5), 6445-6455",", 2020","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6995074250813005640","2020"
"Secure and verifiable outsourcing algorithm for large-scale matrix multiplication on public cloud server","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:bEWYMUwI8FkC","M Kumar, M Vardhan","Engineering Vibration, Communication and Information Processing: ICoEVCI …",", 2019","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=35115114111737223","2019"
"Predicting alcohol consumption behaviours of the secondary level students","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:mB3voiENLucC","AK Shukla, P Singh, M Vardhan","Proceedings of 3rd International conference on internet of things and …",", 2018","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14286575605508175699","2018"
"File replication and consistency maintenance mechanism in a trusted distributed environment","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:eQOLeE2rZwMC","M Vardhan, DS Kushwaha","CSI Transactions on ICT 1, 29-49",", 2013","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16042148589444517902","2013"
"A dynamic fault tolerant threshold based replication mechanism in distributed environment","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:YsMSGLbcyi4C","M Vardhan, A Goel, A Verma, DS Kushwaha","Procedia Technology 6, 188-195",", 2012","4","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11963409156873901521","2012"
"Cost-effective Heuristic Workflow Scheduling Algorithm in Cloud Under Deadline Constraint","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:zA6iFVUQeVQC","J Meena, M Vardhan","Recent Advances in Computer Science and Communications (Formerly: Recent …",", 2020","3","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16092203077649009322","2020"
"Aspect-Based Sentiment Analysis of Tweets Using Independent Component Analysis (ICA) and Probabilistic Latent Semantic Analysis (pLSA)","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:_Qo2XoVZTnwC","P Kumar, M Vardhan","Advances in Data and Information Sciences: Proceedings of ICDIS 2017, Volume …",", 2019","3","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11569929432578460649","2019"
"Privacy Preserving and Efficient Outsourcing Algorithm to Public Cloud: A Case of Statistical Analysis","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:L8Ckcad2t8MC","M Kumar, M Vardhan","International Journal of Information Security and Privacy (IJISP) 12 (2), 1-25",", 2018","3","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2187303611584424300","2018"
"Package level cohesion and its application","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:Se3iqnhoufwC","A Tripathi, M Vardhan, DS Kushwaha","Fifth International Conference on Advances in Communication, Network, and …",", 2014","3","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12940657115238653232","2014"
"Load Balancing in Cluster using BLCR Checkpoint/Restart","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:W7OEmFMy1HYC","H Hariyale, M Vardhan, A Pandey, A Mishra, DS Kushwaha","Advances in Computing and Information Technology: Proceedings of the Second …",", 2012","3","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10633556565944392173","2012"
"On the Fly File Dereplication Mechanism.","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Jmo3rNEAAAAJ&cstart=20&pagesize=80&citation_for_view=Jmo3rNEAAAAJ:d1gkVwhDpl0C","P Gupta, M Vardhan, A Goel, A Verma, DS Kushwaha","ACITY (1) 176, 709-718",", 2012","3","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1002096998847193000","2012"
