"article","link","contributors","about","year","cited","addonlinks","year"
"A solution for successful routing in low–mid-density network using updated Azimuthal protocol","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:EUQCXRtRnyEC","P Agrawal, V Anand, S Tripathi, S Pandey, S Kumar","International Conference on Innovative Computing and Communications …",", 2019","3","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4533364572429576519","2019"
"Fault-resilient localization using fuzzy logic and NSGA II-based metaheuristic scheme for UWSNs","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:Dem6FJhTUoYC","S Kumari, PK Mishra, V Anand","Soft Computing 25 (17), 11603-11619",", 2021","2","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13270785070902200261","2021"
"Intelligent scanning period dilation based Wi-Fi fingerprinting for energy efficient indoor positioning in IoT applications","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&citation_for_view=8l7QwFkAAAAJ:U_HPUtbDl20C","PS Varma, V Anand","The Journal of Supercomputing 79 (7), 7736-7761",", 2023","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12867523567895601584","2023"
"Azimuth Tree-Based Self-organizing Protocol for Internet of Things","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&cstart=20&pagesize=80&citation_for_view=8l7QwFkAAAAJ:AXkvAH5U_nMC","V Anand, P Agrawal, PS Varma, S Pandey, S Kumar","Proceedings of Fifth International Congress on Information and Communication …",", 2021","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14108940321386109612","2021"
"A Delay-Tolerant low-duty cycle scheme in wireless sensor networks for IoT applications","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&cstart=20&pagesize=80&citation_for_view=8l7QwFkAAAAJ:1DsIQWDZLl8C","S Singh, V Anand, PK Bera","International Journal of Cognitive Computing in Engineering 4, 194-204",", 2023","","https://scholar.google.com/citations?user=8l7QwFkAAAAJ&hl=en&oi=ao","2023"
"ReMAPP: reverse multilateration based access point positioning using multivariate regression for indoor localization in smart buildings","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&cstart=20&pagesize=80&citation_for_view=8l7QwFkAAAAJ:-95Q15plzcUC","PS Varma, V Anand","Telecommunication Systems, 1-20",", 2023","","https://scholar.google.com/citations?user=8l7QwFkAAAAJ&hl=en&oi=ao","2023"
"Energy aware firefly based sink mobility data routing in wireless sensor networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&cstart=20&pagesize=80&citation_for_view=8l7QwFkAAAAJ:ce2CqMG-AY4C","K Jaiswal, V Anand","2022 Second International Conference on Next Generation Intelligent Systems …",", 2022","","https://scholar.google.com/citations?user=8l7QwFkAAAAJ&hl=en&oi=ao","2022"
"A Fuzzy C-Means Based Clustering Protocol to Improve QoS of Multi Sink WSNs","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&cstart=20&pagesize=80&citation_for_view=8l7QwFkAAAAJ:kWvqk_afx_IC","S Singh, V Anand","International Conference on Frontiers of Intelligent Computing: Theory and …",", 2022","","https://scholar.google.com/citations?user=8l7QwFkAAAAJ&hl=en&oi=ao","2022"
"Efficient Fault-Tolerant Cluster-Based Approach for Wireless Sensor Networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&cstart=20&pagesize=80&citation_for_view=8l7QwFkAAAAJ:-jrNzM816MMC","K Jaiswal, V Anand","Intelligent Data Engineering and Analytics: Proceedings of the 9th …",", 2022","","https://scholar.google.com/citations?user=8l7QwFkAAAAJ&hl=en&oi=ao","2022"
"Target Tracking Scheme Using Multi-Objective Differential Evolution for Underwater Wireless Sensor Networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&cstart=20&pagesize=80&citation_for_view=8l7QwFkAAAAJ:-7ulzOJl1JYC","S Kumari, PK Mishra, V Anand","International Conference on Advances in Electrical and Computer Technologies …",", 2020","","https://scholar.google.com/citations?user=8l7QwFkAAAAJ&hl=en&oi=ao","2020"
"Energy Efficient Routing Scheme for Underwater Wireless Sensor Networks Using Type-2 Takagi-Sugeno-Kang FIS","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&cstart=20&pagesize=80&citation_for_view=8l7QwFkAAAAJ:KaMxkj08jr0C","S Kumari, PK Mishra, V Anand","International Conference on Advances in Electrical and Computer Technologies …",", 2020","","https://scholar.google.com/citations?user=8l7QwFkAAAAJ&hl=en&oi=ao","2020"
"Comparative Study of Different Routing Protocol for Opportunistic IoT Applications","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&cstart=20&pagesize=80&citation_for_view=8l7QwFkAAAAJ:rHJHxKgnXwkC","S Singh, V Anand","2019 International Conference on Computing, Power and Communication …",", 2019","","https://scholar.google.com/citations?user=8l7QwFkAAAAJ&hl=en&oi=ao","2019"
"A Secure Cluster Head Selection Mechanism Based on Node's Features and Behavior in Wireless Sensor Networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&cstart=20&pagesize=80&citation_for_view=8l7QwFkAAAAJ:XUvXOeBm_78C","VA Agrawal, Deepika, Sudhakar Pandey","International Journal of Information Security and Privacy (IJISP) 13 (3), 74-90.",", 2019","","https://scholar.google.com/citations?user=8l7QwFkAAAAJ&hl=en&oi=ao","2019"
"Energy efficient priority based clustering for wireless sensor networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&cstart=20&pagesize=80&citation_for_view=8l7QwFkAAAAJ:L1USKYWJimsC","VUR Veena Anand, Sudhakar Pandey, Valiveru Sai Sravya","International Conference on Energy, Environment and Economics (ICEEE2017 …",", 2017","","https://scholar.google.com/citations?user=8l7QwFkAAAAJ&hl=en&oi=ao","2017"
"Grid Deployment with Clustering in Wireless Sensor Networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&cstart=20&pagesize=80&citation_for_view=8l7QwFkAAAAJ:CB2v5VPnA5kC","V Ananda, S Pandeyb","","","","https://scholar.google.com/citations?user=8l7QwFkAAAAJ&hl=en&oi=ao",""
"Simulation based Performance comparison of AODV, DSR and DSDV Protocols under varying node density","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=8l7QwFkAAAAJ&cstart=20&pagesize=80&citation_for_view=8l7QwFkAAAAJ:owLR8QvbtFgC","V Anand","","","","https://scholar.google.com/citations?user=8l7QwFkAAAAJ&hl=en&oi=ao",""
