"article","link","contributors","about","year","cited","addonlinks","year"
"An Alternate Switch Selection for Fault Tolerant Load Administration and VM Migration in Fog Enabled Cloud Datacenter","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:UebtZRa9Y70C","KJ Naik","2021 International Conference on Innovation and Intelligence for Informatics …",", 2021","3","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17778470413511727955","2021"
"An Enhanced Mechanism for Balanced Job Scheduling Based on Deadline Control in Computational Grid","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:KlAtU1dfN6UC","KJ Naik, A Jagan, N Satyanarayana","Emerging Trends in Electrical, Communications and Information Technologies, 3-17",", 2017","2","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2984137155218299917","2017"
"A Cost Greedy Price Adjustment based Job scheduling and Load Balancing in Grids.","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&citation_for_view=yyE-OBwAAAAJ:u-x6o8ySG0sC","KJ Naik, A Jagan, N Satyanarayana","International Journal of Computing & ICT Research 10 (1)",", 2016","2","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4774939456659164144","2016"
"An optimal ant algorithm for balanced scheduling in computing grids","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:aqlVkmm33-oC","KJ Naik, A Jagan, NS Narayana","i-Manager's Journal on Software Engineering 10 (2), 6",", 2015","2","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8654781916506060075","2015"
"Research Scholar","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:_kc_bZDykSQC","K Jairam Naik","Faculty of Computer Science & Engineering, JNT University, Hyderabad, India",", 2012","2","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10323396529570105203","2012"
"An IoT model for Fish breeding analysis with water quality data of pond using Modified Multilayer Perceptron model","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:HDshCWvjkbEC","AP Gopi, KJ Naik","2022 International Conference on Data Analytics for Business and Industry …",", 2022","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4457533442448245227","2022"
"An Adaptive Push-Pull for Disseminating Dynamic Workload and Virtual Machine Live Migration in Cloud Computing","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:ZeXyd9-uunAC","KJ Naik","International Journal of Grid and High Performance Computing (IJGHPC) 14 (1 …",", 2022","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3965598461813697016","2022"
"A NOVEL APPROACH FOR JOB SCHEDULING AND LOAD BALANCING IN GRID COMPUTING ENVIRONMENT","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:5nxA0vEk-isC","AJNSN KJ Naik","Anale. Seria Informatică 13 (2), 55-64",", 2015","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9914691020387360","2015"
"Deep Generative De-convolutional Network for Video Subtitle Generation","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:4TOpqqG69KYC","VSAIS SAMMETA, A TAMMINENI, N KJairam","","","1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5550054512711677105","2014"
"Linear Regression Model for Predicting Virtual Machine Consolidation Within the Cloud Data Centers (LrmP_VMC)","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:iH-uZ7U-co4C","M Tejaswini, T Hari Sumanth, K Jairam Naik","Machine Intelligence Techniques for Data Analysis and Signal Processing …",", 2023","","https://scholar.google.com/citations?user=yyE-OBwAAAAJ&hl=en&oi=ao","2023"
"Single image deraining using modified bilateral recurrent network (modified_BRN)","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:r0BpntZqJG4C","M Tejaswini, TH Sumanth, KJ Naik","Multimedia Tools and Applications, 1-24",", 2023","","https://scholar.google.com/citations?user=yyE-OBwAAAAJ&hl=en&oi=ao","2023"
"Application of Convolutional Neural Networks for COVID-19 Detection in X-ray Images Using InceptionV3 and U-Net","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:j3f4tGmQtD8C","A Gupta, S Mishra, SC Sahu, U Srinivasarao, KJ Naik","New Generation Computing, 1-28",", 2023","","https://scholar.google.com/citations?user=yyE-OBwAAAAJ&hl=en&oi=ao","2023"
"Prediction and detection of emotional tone in online social media mental disorder groups using regression and recurrent neural networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:RHpTSmoSYBkC","SD Kanaparthi, A Patle, KJ Naik","Multimedia Tools and Applications, 1-21",", 2023","","https://scholar.google.com/citations?user=yyE-OBwAAAAJ&hl=en&oi=ao","2023"
"Efficient Computing Resource Sharing for Mobile Edge-Cloud Computing Networks","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:_Qo2XoVZTnwC","S Mishra, A Gupta, K Jairam Naik","Frontiers of ICT in Healthcare: Proceedings of EAIT 2022, 523-537",", 2023","","https://scholar.google.com/citations?user=yyE-OBwAAAAJ&hl=en&oi=ao","2023"
"Deep learning model for plant-leaf disease detection in precision agriculture","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:4JMBOYKVnBMC","C Bajpai, R Sahu, KJ Naik","International Journal of Intelligent Systems Technologies and Applications …",", 2023","","https://scholar.google.com/citations?user=yyE-OBwAAAAJ&hl=en&oi=ao","2023"
"Enhanced Hybrid Optimization Technique to Find Optimal Solutions for Task Scheduling in Cloud-Fog Computing Environments","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:e5wmG9Sq2KIC","A Patle, SD Kanaparthi, KJ Naik","International Conference on Internet of Things, 103-114",", 2023","","https://scholar.google.com/citations?user=yyE-OBwAAAAJ&hl=en&oi=ao","2023"
"An echo-based autonomous real-time system for efficient maintenance of students attendance","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:mB3voiENLucC","S Jamulkar, MK Verma, KJ Naik","International Journal of Intelligent Information and Database Systems 15 (4 …",", 2022","","https://scholar.google.com/citations?user=yyE-OBwAAAAJ&hl=en&oi=ao","2022"
"Cloud-Based Smart Traffic Lights Monitoring and Controlling Using IoT","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:Zph67rFs4hoC","K Jairam Naik, N Sundar, S Agrawal, N Singhania","Advanced Computational Paradigms and Hybrid Intelligent Computing …",", 2022","","https://scholar.google.com/citations?user=yyE-OBwAAAAJ&hl=en&oi=ao","2022"
"An IoT Framework for Groundnut Crop Yield Prediction Using K-Means Algorithm","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:M3ejUd6NZC8C","K Venkatesh, KJ Naik","2021 International Conference on Data Analytics for Business and Industry …",", 2021","","https://scholar.google.com/citations?user=yyE-OBwAAAAJ&hl=en&oi=ao","2021"
"Hidden Markov Models and CNN to Explicate Videos","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:ULOm3_A8WrAC","VSAIS SAMMETA, N YENUGANTI, KJ NAIK","","","","https://scholar.google.com/citations?user=yyE-OBwAAAAJ&hl=en&oi=ao","2012"
"A Policy Evaluation Method for Multi Grid Resource Management","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:L8Ckcad2t8MC","KJ Naik, NS Narayana, KV Kumar","","","","https://scholar.google.com/citations?user=yyE-OBwAAAAJ&hl=en&oi=ao",""
"Automobiles Presence Recognition using RNN","https://scholar.google.com/citations?view_op=view_citation&hl=en&user=yyE-OBwAAAAJ&cstart=20&pagesize=80&citation_for_view=yyE-OBwAAAAJ:YOwf2qJgpHMC","VSS Sammeta, A Tammineni, J Naik","","","","https://scholar.google.com/citations?user=yyE-OBwAAAAJ&hl=en&oi=ao",""
